"partyid","age","sex","race","degree","attend"
"Republican",34,"2","3","1","5"
"Democrat",71,"1","1","1","7"
"Democrat",32,"2","1","1","5"
"Republican",37,"1","1","3","4"
"Republican",41,"1","1","1","3"
"Republican",32,"1","1","1","1"
"Republican",35,"1","1","1","2"
"Republican",61,"1","1","1","0"
"Republican",57,"1","1","3","7"
"Republican",71,"1","1","1","5"
"Democrat",39,"2","1","4","4"
"Republican",42,"2","1","3","7"
"Republican",48,"2","1","1","5"
"Democrat",37,"1","1","1","0"
"Republican",47,"1","1","1","2"
"Republican",41,"1","1","3","7"
"Republican",71,"1","1","1","7"
"Democrat",31,"2","1","1","0"
"Republican",33,"2","1","2","0"
"Democrat",32,"1","1","1","1"
"Democrat",48,"1","1","1","4"
"Democrat",50,"2","1","4","0"
"Republican",40,"1","1","1","0"
"Democrat",35,"2","1","1","7"
"Democrat",40,"1","2","0","0"
"Republican",49,"2","3","2","5"
"Democrat",30,"1","2","1","2"
"Democrat",22,"2","1","3","0"
"Republican",21,"2","1","1","4"
"Republican",21,"2","1","1","7"
"Democrat",23,"1","1","1","4"
"Republican",67,"1","1","1","0"
"Democrat",34,"2","1","2","1"
"Democrat",31,"1","1","1","0"
"Republican",72,"1","1","1","8"
"Democrat",24,"2","1","1","2"
"Republican",49,"2","1","1","2"
"Democrat",42,"1","3","1","2"
"Republican",48,"2","1","0","2"
"Democrat",39,"1","3","1","3"
"Democrat",59,"2","2","1","7"
"Republican",63,"1","1","2","1"
"Republican",32,"2","1","1","3"
"Democrat",27,"1","2","1","3"
"Democrat",53,"1","1","1","1"
"Republican",88,"2","1","1","8"
"Republican",44,"1","2","3","3"
"Republican",37,"1","1","1","7"
"Republican",70,"2","1","1","2"
"Democrat",31,"2","1","1","8"
"Democrat",63,"2","1","1","7"
"Republican",41,"2","3","4","7"
"Democrat",41,"2","1","4","7"
"Republican",31,"2","1","1","2"
"Republican",65,"1","1","1","7"
"Republican",65,"2","1","2","2"
"Republican",19,"2","1","1","8"
"Republican",31,"2","1","3","3"
"Democrat",26,"2","1","1","0"
"Democrat",24,"1","3","1","7"
"Republican",75,"1","1","1","6"
"Democrat",40,"1","1","4","8"
"Republican",65,"1","1","3","7"
"Republican",56,"2","1","4","7"
"Democrat",40,"1","1","3","0"
"Republican",38,"2","1","1","7"
"Republican",69,"2","1","3","4"
"Republican",64,"1","1","3","6"
"Democrat",49,"2","1","1","3"
"Republican",32,"1","1","1","7"
"Republican",55,"2","1","1","0"
"Democrat",83,"1","1","1","2"
"Republican",35,"1","1","4","6"
"Republican",42,"1","1","0","2"
"Republican",39,"2","1","1","0"
"Republican",23,"2","1","1","8"
"Republican",50,"2","1","1","8"
"Democrat",45,"2","1","3","0"
"Republican",34,"2","1","4","7"
